 ,,,,,,,,,,,
"
Clave",Nombre de la herramienta,Instrucciones,Descripción,¿Qué evalúa?,Referencias,Grupo Etario,Población específica,Tiempo aplicativo,No. de ítems,CIE-11,LS
CVE-20,calidad de vida para pacientes con estreñimiento , le pedimos responda el siguiente cuestionario. Agradecemos su comprensión y sinceridad. Sus respuestas serán confidenciales.,"El Cuestionario
CVE-20  es para valorar específicamente la calidad de vida
en pacientes con estreñimiento.",calidad de vida ,https://static.elsevier.es/multimedia/00257753/0000013100000010/v0_201607111109/13126141/v0_201607111111/es/2v131n10a13126141pdf001.pdf?idApp=UINPBA00004N&text        instrumento https://share.google/yJHZoNqa2WgywrECw ,personas con estreñimiento ,poblacion en general apartir de los 18 años,10 - 15  minutos,20,"ME05.0
DD91.1
",Bienestar físico
DAI-10,Inventario de actitudes hacia la medicación,,Inventario que valora la respuesta subjetiva a la medicación antipsicótica referentes al efecto percibido de la medicación.,Respuesta subjetiva a la medicación antipsicótica,https://www.researchgate.net/publication/247136327_Drug_attitude_inventory_spanish-adapted_version ,18-59 años,,≤10 minutos,10,,Bienestar físico y mental
DSDH17M,ESCALA DE DISTRESS EMOCIONAL EN PACIENTES CON DIABETES Y/O HIPERTENSIÓN ,,,Estrés emocional por DM2 y HAS,https://pmc.ncbi.nlm.nih.gov/articles/PMC4785307/,≥ 20 años ,Pacientes con diabetes y/o hipertensión,20 minutos,17,"5A11, BA04",Bienestar mental
DTS,Davidson Trauma Scale,,Instrumento que cuantifica la frecuencia y la gravedad de cada uno de los síntomas del Trastorno por Estrés Post-Traumático.,Trastorno de estrés postraumático,https://www.redalyc.org/pdf/582/58229682007.pdf ,A partir de los 18 años,,≤10 minutos,17,"6B40
6B41",Bienestar mental
E-PICA,"Escala de Peso, Imagen Corporal y Autoestima",,"Instrumento que evalúa la percepción personal de los cambios en el peso corporal y el ajuste psicosocial en los pacientes con trastornos mentales. ",Percepción personal de los cambios en el peso corporal,https://www.sciencedirect.com/science/article/abs/pii/S0010440X1200065X?via%3Dihub ,≥18 años,,≤10 minutos,12,,Bienestar mental
EAC,Escala de Autoestima Corporal,,,Satisfacción y atractivo corporal ,https://www.redalyc.org/pdf/4771/477152554006.pdf  ,≥18 años,,10-30 minutos,26,,Bienestar mental
EAG,Escala de Adicción General,,"Escala útil para evaluar el grado de adicciones entre las que se consideran la compra compulsiva, la práctica de deportes (correr, aeróbicos), diversas adicciones alimentarias (dulces, chocolates), otros consumos específicos (café, refrescos), trabajo, internet, sexo, videojuegos, televisión, entre otros.",Grado de adicción,https://ais.paho.org/classifications/chapters/pdf/volume1.pdf ,A partir de los 12 años,,10-30 minutos,11,,Bienestar físico y mental
EDAH,Escala del trastorno por déficit de atención con hiperactividad,,Escala adaptada de la escala Conners. Permite realizar un tamizaje de sintomatología del Trastorno por Déficit de Atención con Hiperactividad (TDAH),Trastorno por déficit de atención con hiperactividad en niños,https://www.redalyc.org/pdf/3498/349832326055.pdf ,6-12 años,Estudiantes,≤10 minutos,20,6A05,Bienestar mental
EORTIC  QLQ-C30,Calidad de vida para pacientes con cáncer,"Por favor, responda a todas las preguntas
personalmente,  No hay contestaciones
""acertadas"" o ""desacertadas"". La información que nos proporcione será estrictamente confidencial","este cuestionario fue diseñado para medir las funciones físicas, psicológicas y sociales de los pacientes con cáncer",Calidad de vida,https://tabasco.gob.mx/sites/default/files/users/ssaludtabasco/72.pdf,≥18 años,Pacientes con diagnóstico de cáncer,≤15 minutos,30,,Bienestar mental
EPDS,Escala de Depresión Postnatal de Edimburgo,,,Depresión postnatal,https://pubmed.ncbi.nlm.nih.gov/27403273/ ,18-59 años,Mujeres embarazadas,≤10 minutos,10,6E20,
Escala Bristol,Bristol Stool Form Scale,,,Forma y consistencia de las heces,https://www.revistagastroenterologiamexico.org/en-guias-diagnostico-tratamiento-del-estrenimiento-articulo-X0375090611243253,Apartir de los 5 años,apto para todo publico ,≤5 minutos,7,ME05.0,Bienestar físico
ESCALA DE BRADEN,Escala de Braden-Bergstrom,Evalúe cada uno de los seis factores de forma independiente y asígnele una puntuación según las características de la persona,ESCALA DE BRADEN PARA LA PREDICCIÓN DEL RIESGO DE ÚLCERAS POR PRESIÓN,Predicción del riesgo de úlceras por presión,https://pmc.ncbi.nlm.nih.gov/articles/PMC8363405/,media <60 años,poblacion inmovil ,≤10 minutos,6,EH90,Bienestar físico
Escala PEG,"Pain, Enjoyment of Life and General Activity Scale",,,Intensidad del dolor e interferencia con las actividades de la vida diaria,Validation of the PEG scale in Spanish (PEG-S) among adults receiving care for pain in US primary care - PMC,≥ 18 años ,,,,,
FABQ ,Cuestionario de creencias sobre el miedo y la evitación sobre la lumbalgia ,,, Función afectiva y conductual en pacientes,https://www.kovacs.org/descargas/CuestionarioFAB.pdf,≥ 15 años ,Pacientes con cáncer,≤10 minutos,16,"MG24.0Y",Bienestar físico
FABQ ,FearAvoidance Beliefs Questionnaire,"Por favor, para cada afirmación  que haga marque un numero un número del 0 al 6 para indicar hasta qué punto las actividades físicas tales como inclinarse, levantar peso, caminar o conducir afectan o afectarían a su dolor de espalda",,"preocupación sobre la importancia del dolor y la
vulnerabilidad de la columna a la actividad física",https://multimedia.elsevier.es/PublicationsMultimediaV1/item/multimedia/S0212656715003406:mmc2.pdf?idApp=UINPBA00004N,≥ 18 años ,Pacientes con lumbagia,≤10 minutos,16,ME84.2,Bienestar físico
